Year,Patrick,Boxes,Noodles,Andrew,Godspeace,Darren,Kage,Usagi,Johnny
2225,584,511,620,958,549,759,531,497,668
2233,552,562,763,1061,726,967,660,598,727
2237,671,621,810,800,759,1174,767,684,759
2241,793,649,914,868,753,1260,837,784,854
2273,2236,1109,1907,1309,493,3003,1762,1844,1583
2275,2417,1194,2031,1336,481,3228,1845,1965,1810
2277,2564,1334,2227,1373,532,3456,1987,2069,1984
2281,2771,1521,2405,1420,572,3866,2306,2192,2229
2284,2998,1515,2253,1464,614,4006,2566,2289,2411
2287,3437,1497,2402,1572,680,4411,2627,2489,2517
2288,3488,1515,2365,1600,713,4514,2809,2678,2616
2289,3492,1513,2429,1623,712,4569,2771,2672,2673
2290,3493,1522,2495,1793,728,4676,2716,2703,2720
2291,3519,1540,2552,1796,743,4729,2794,2815,2727
2292,3679,1567,2608,1713,742,4758,2734,2819,2783
