Year,Patrick,Boxes,Noodles,Andrew,Godspeace,Darren,Kage,Usagi,Johnny
2219,43,42,0,0,0,0,0,0,0
2220,44,43,0,0,0,0,0,0,0
2221,45,43,0,0,0,0,0,0,0
2222,49,44,0,0,0,0,0,0,0
2223,50,45,0,0,0,0,0,0,0
2224,50,45,52,43,57,66,54,0,0
2225,54,44,55,43,59,69,54,0,0
2233,63,49,67,47,67,80,64,69,52
2237,83,56,81,52,81,108,75,87,60
2241,100,59,92,57,95,130,86,95,67
2262,210,80,149,87,43,257,155,152,128
2273,294,99,187,108,58,326,183,190,174
2275,322,103,196,114,62,348,192,192,199
2277,342,120,204,119,66,369,199,199,224
2281,376,129,216,130,70,394,216,210,245
2284,421,136,199,139,78,434,236,224,265
2287,446,143,191,149,82,466,253,233,282
2288,469,146,193,152,84,474,259,237,292
2289,473,146,195,153,84,482,265,239,299
2290,482,149,202,157,86,497,272,244,303
2291,489,149,205,159,89,509,277,244,305
2292,502,151,207,160,89,515,284,247,315
